Year,Revenue,Operating_Income,Net_Income,Diluted_EPS,Free_Cash_Flow,Total_Debt,Cash_and_Cash_Equivalents
TTM, 49,284,000, 15,565,000, 13,701,000, 3.18, 12,562,000, NA, NA
2025, 47,941,000, 14,911,000, 13,107,000, 3.04, 5,296,000, 45,492,000, 10,270,000
2024, 47,061,000, 14,022,000, 10,631,000, 2.46, 4,741,000, 44,522,000, 10,828,000
2023, 45,754,000, 13,098,000, 10,714,000, 2.47, 9,747,000, 42,064,000, 9,366,000
2022, 43,004,000, 12,042,000, 9,542,000, 2.19, 9,534,000, 39,149,000, 9,519,000
